SA1_7DIGITCODE_2016	HomeCensusNight	persons
1104024	1	476
1104025	0	6
1104025	1	273
1104026	0	30
1104026	1	591
1104027	0	20
1104027	1	283
1104028	0	8
1104028	1	373
1104029	0	21
1104029	1	411
1104030	0	26
1104030	1	374
1104031	0	7
1104031	1	337
1104032	0	12
1104032	1	217
1104033	0	18
1104033	1	379
1104034	0	23
1104034	1	512
1104035	0	8
1104035	1	330
1104036	0	40
1104036	1	343
1104037	0	12
1104037	1	285
1104038	0	22
1104038	1	320
1104039	0	35
1104039	1	583
1104040	0	19
1104040	1	366
1104041	0	14
1104041	1	243
1104042	0	10
1104042	1	400
1104043	0	18
1104043	1	495
1104044	0	4
1104044	1	300
1104045	0	40
1104045	1	425
1104046	0	21
1104046	1	440
1104047	0	17
1104047	1	446
1104048	0	30
1104048	1	463
1104049	0	19
1104049	1	471
1104050	0	9
1104050	1	331
1104051	0	30
1104051	1	446
1104052	0	21
1104052	1	372
1104053	0	24
1104053	1	497
1104054	0	20
1104054	1	338
1104055	0	48
1104055	1	505
1104056	0	29
1104056	1	356
1104057	0	25
1104057	1	602
1104058	0	10
1104058	1	323
1104101	0	18
1104101	1	478
1104102	0	42
1104102	1	597
1104103	0	11
1104103	1	370
1104104	0	19
1104104	1	406
1104105	0	22
1104105	1	339
1104106	0	23
1104106	1	403
1104107	0	19
1104107	1	240
1104109	0	29
1104109	1	371
1104110	0	44
1104110	1	418
1104111	0	6
1104111	1	245
1104112	0	32
1104112	1	452
1104113	0	16
1104113	1	339
1104114	0	48
1104114	1	532
1104115	0	14
1104115	1	335
1104116	0	23
1104116	1	401
1104117	0	10
1104117	1	259
1104119	0	31
1104119	1	425
1104120	0	16
1104120	1	416
1104121	0	37
1104121	1	623
1104122	0	24
1104122	1	287
1104123	0	22
1104123	1	414
1104124	0	35
1104124	1	420
1104125	0	42
1104125	1	424
1104201	0	26
1104201	1	488
1104202	0	19
1104202	1	525
1104203	0	8
1104203	1	260
1104204	0	9
1104204	1	396
1104205	0	21
1104205	1	505
1104207	0	26
1104207	1	517
1104208	0	39
1104208	1	487
1104209	0	11
1104209	1	215
1104210	0	27
1104210	1	409
1104211	0	19
1104211	1	398
1104212	1	10
1104213	0	25
1104213	1	573
1104214	0	26
1104214	1	555
1104215	0	12
1104215	1	359
1104216	0	21
1104216	1	368
1104217	0	22
1104217	1	457
1104218	0	18
1104218	1	431
1104219	0	20
1104219	1	363
1104220	0	32
1104220	1	519
1104221	0	10
1104221	1	499
1104222	0	23
1104222	1	416
1104223	0	16
1104223	1	328
1104224	0	23
1104224	1	449
1104225	0	26
1104225	1	495
1104226	0	23
1104226	1	437
1104227	0	19
1104227	1	345
1104228	0	21
1104228	1	434
1104229	0	13
1104229	1	306
1104230	0	25
1104230	1	381
1104231	0	18
1104231	1	548
1104232	0	15
1104232	1	351
1104233	0	21
1104233	1	483
1104301	0	14
1104301	1	123
1104302	0	18
1104302	1	342
1104303	0	20
1104303	1	488
1104304	0	9
1104304	1	372
1104305	0	22
1104305	1	349
1104306	1	3
1104307	0	7
1104307	1	259
1104308	0	21
1104308	1	279
1104309	0	6
1104309	1	359
1104310	0	9
1104310	1	197
1104311	0	22
1104311	1	404
1104312	0	39
1104312	1	836
1104313	0	19
1104313	1	349
1104314	0	13
1104314	1	189
1104315	0	13
1104315	1	386
1104316	0	25
1104316	1	329
1104317	0	17
1104317	1	406
1104318	0	16
1104318	1	354
1104319	0	10
